City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Port Hardy,CA,2021-10-18 14:58:46,50.6996,-127.4199,44.6,100,40,0.0
152,Otjimbingwe,NA,2021-10-18 15:04:15,-22.35,16.1333,94.44,6,24,13.11
153,Broome,US,2021-10-18 14:57:11,42.2506,-75.833,53.83,69,90,5.99
154,Talnakh,RU,2021-10-18 14:56:31,69.4865,88.3972,34.2,99,100,11.88
155,Volsk,RU,2021-10-18 15:04:16,52.0333,47.3833,50.85,68,91,3.78
156,Nome,US,2021-10-18 14:56:26,64.5011,-165.4064,21.99,75,96,3.4
157,Nanortalik,GL,2021-10-18 14:56:15,60.1432,-45.2371,32.34,77,64,12.8
158,Severnyy,RU,2021-10-18 15:04:16,50.677,36.5532,48.24,57,100,8.95
159,Tibu,CO,2021-10-18 15:04:17,8.639,-72.7358,89.19,56,16,1.48
160,Mpika,ZM,2021-10-18 15:04:17,-11.8343,31.4529,86.92,21,34,7.56
161,Aguas Formosas,BR,2021-10-18 15:04:17,-17.0822,-40.9358,82.65,58,100,3.76
162,Cayenne,GF,2021-10-18 14:57:08,4.9333,-52.3333,89.64,77,40,5.99
163,Los Llanos De Aridane,ES,2021-10-18 14:57:14,28.6585,-17.9182,78.55,32,0,4.61
164,Hitoyoshi,JP,2021-10-18 15:04:18,32.2167,130.75,59.7,85,100,2.73
165,Vestmannaeyjar,IS,2021-10-18 14:58:19,63.4427,-20.2734,49.19,100,75,25.32
166,Lisakovsk,KZ,2021-10-18 15:02:32,52.5369,62.4936,52.36,42,84,10.22
167,Singkawang,ID,2021-10-18 15:03:06,0.9,109.0,77.79,89,67,3.09
168,San Buenaventura,MX,2021-10-18 15:04:19,27.0833,-101.5333,74.12,45,1,3.44
169,Virginia Beach,US,2021-10-18 14:56:30,36.8529,-75.978,65.01,53,0,4.0
170,Coahuayana,MX,2021-10-18 15:04:20,18.7333,-103.6833,83.68,73,9,2.82
171,Narasannapeta,IN,2021-10-18 15:04:20,18.4167,84.05,80.26,89,100,4.81
172,Adrar,MR,2021-10-18 14:57:10,20.5022,-10.0711,98.56,8,100,12.08
173,Saint-Augustin,CA,2021-10-18 14:56:54,51.226,-58.6502,44.89,83,100,25.5
174,Tura,IN,2021-10-18 14:59:03,25.5198,90.2201,72.73,98,100,6.98
175,Hegang,CN,2021-10-18 15:04:21,47.4,130.3667,23.7,52,9,3.69
176,Rosarito,MX,2021-10-18 15:04:21,32.3333,-117.0333,62.11,76,100,5.59
177,Karasjok,NO,2021-10-18 15:04:21,69.4719,25.5112,30.31,85,97,12.33
178,Samarai,PG,2021-10-18 14:58:02,-10.6167,150.6667,81.73,82,95,9.57
179,Neiafu,TO,2021-10-18 15:04:22,-18.65,-173.9833,75.88,83,75,4.61
180,Jumilla,ES,2021-10-18 15:04:22,38.4792,-1.325,73.96,44,100,5.99
181,Davenda,RU,2021-10-18 15:04:23,53.5556,119.317,23.54,65,22,3.83
182,Ossora,RU,2021-10-18 14:57:22,59.2353,163.0719,20.88,78,100,8.48
183,Guerrero Negro,MX,2021-10-18 15:02:11,27.9769,-114.0611,66.6,70,20,11.77
184,Salamiyah,SY,2021-10-18 15:04:23,35.0113,37.0532,68.85,55,10,16.06
185,Tuatapere,NZ,2021-10-18 15:01:56,-46.1333,167.6833,48.76,93,100,6.82
186,Vredefort,ZA,2021-10-18 15:04:24,-27.0081,27.3646,73.76,13,76,3.29
187,Uzlovaya,RU,2021-10-18 15:04:24,53.9818,38.1712,40.23,78,60,9.37
188,Aitape,PG,2021-10-18 15:04:25,-3.1374,142.3475,80.78,84,93,6.24
189,Cockburn Town,TC,2021-10-18 14:57:57,21.4612,-71.1419,82.36,74,40,5.75
190,Vitim,RU,2021-10-18 15:04:25,59.4511,112.5578,33.64,78,100,11.74
191,Hasaki,JP,2021-10-18 14:56:31,35.7333,140.8333,54.0,60,100,10.8
192,Katsuura,JP,2021-10-18 14:56:53,35.1333,140.3,60.19,66,100,13.82
193,Gatesville,US,2021-10-18 15:04:26,31.4352,-97.7439,65.35,62,1,0.0
194,Beringovskiy,RU,2021-10-18 14:57:57,63.05,179.3167,33.85,98,100,36.46
195,Fortuna,US,2021-10-18 14:57:24,40.5982,-124.1573,48.65,76,90,0.0
196,Kaniama,CD,2021-10-18 15:04:27,-7.5667,24.1833,75.22,79,100,8.32
197,Pangnirtung,CA,2021-10-18 15:01:30,66.1451,-65.7125,35.22,47,93,3.87
198,Mar Del Plata,AR,2021-10-18 14:56:45,-38.0023,-57.5575,59.02,27,0,8.01
199,Saint George,US,2021-10-18 14:56:42,37.1041,-113.5841,60.33,34,2,10.0
200,Kidal,ML,2021-10-18 15:04:27,18.4411,1.4078,98.11,16,75,5.68
201,Harper,LR,2021-10-18 14:59:12,4.375,-7.7169,82.36,74,56,9.42
202,Clifton,US,2021-10-18 15:02:38,40.8584,-74.1638,59.27,66,20,1.01
203,Palmer,US,2021-10-18 15:01:24,42.1584,-72.3287,56.98,61,1,1.99
204,Canton,CN,2021-10-18 15:02:56,23.1167,113.25,73.99,66,25,3.69
205,Aklavik,CA,2021-10-18 14:58:24,68.2191,-135.0107,25.63,83,99,6.31
206,Simbahan,PH,2021-10-18 15:04:28,6.3032,120.5836,83.71,75,58,3.36
207,Scottsbluff,US,2021-10-18 15:00:14,41.8666,-103.6672,60.82,24,75,2.64
208,Norman Wells,CA,2021-10-18 14:55:42,65.282,-126.8329,23.04,93,75,4.61
209,Mogoytuy,RU,2021-10-18 15:04:29,51.2833,114.9167,27.34,61,2,4.27
210,Anadyr,RU,2021-10-18 15:04:29,64.75,177.4833,30.0,92,100,40.0
211,La Ronge,CA,2021-10-18 14:58:30,55.1001,-105.2842,35.85,87,40,10.36
212,Oranjemund,NA,2021-10-18 14:55:14,-28.55,16.4333,66.96,50,0,30.36
213,Deputatskiy,RU,2021-10-18 14:57:19,69.3,139.9,-16.11,98,44,3.98
214,Catalina,US,2021-10-18 15:04:30,32.5056,-110.9211,68.07,43,0,7.16
215,Touros,BR,2021-10-18 15:00:54,-5.1989,-35.4608,86.34,59,88,16.15
216,Grindavik,IS,2021-10-18 14:53:51,63.8424,-22.4338,49.95,93,75,12.66
217,Kununurra,AU,2021-10-18 14:57:12,-15.7667,128.7333,82.38,47,83,3.44
218,Clyde River,CA,2021-10-18 14:58:08,70.4692,-68.5914,32.23,86,90,28.77
219,Vanavara,RU,2021-10-18 15:04:31,60.34,102.2797,30.36,94,96,5.08
220,Bambanglipuro,ID,2021-10-18 14:59:09,-7.95,110.2833,79.75,83,99,3.18
221,Dukat,RU,2021-10-18 15:04:32,62.55,155.55,-5.89,98,100,4.83
222,Tabou,CI,2021-10-18 14:56:34,4.423,-7.3528,81.91,76,65,10.49
223,Mitsamiouli,KM,2021-10-18 15:04:32,-11.3847,43.2844,78.35,80,9,12.55
224,Malokaterynivka,UA,2021-10-18 15:04:33,47.6525,35.2539,50.72,52,100,10.69
225,Quijingue,BR,2021-10-18 15:04:33,-10.7525,-39.2092,95.92,23,100,7.2
226,Lata,PT,2021-10-18 14:58:13,40.1629,-8.3327,78.49,59,98,3.47
227,Karaton,ID,2021-10-18 15:04:34,-6.3424,106.1045,81.95,92,100,4.27
228,Ixtapa,MX,2021-10-18 14:57:58,20.7,-105.2,82.22,80,2,1.01
229,Itarema,BR,2021-10-18 14:57:34,-2.9248,-39.9167,89.71,54,58,16.64
230,Lebork,PL,2021-10-18 15:04:34,54.5392,17.7501,51.93,65,100,2.33
231,Muisne,EC,2021-10-18 15:04:35,0.6,-80.0333,80.71,83,99,10.58
232,San Policarpo,PH,2021-10-18 15:01:59,12.1791,125.5072,81.46,82,12,3.78
233,Alta Floresta,BR,2021-10-18 15:01:11,-9.8756,-56.0861,84.31,58,100,3.4
234,Nukus,UZ,2021-10-18 15:04:35,42.4531,59.6103,55.38,22,0,4.61
235,Baijiantan,CN,2021-10-18 15:04:36,45.6333,85.1833,54.1,26,0,5.55
236,Port Macquarie,AU,2021-10-18 15:03:19,-31.4333,152.9167,54.9,85,100,8.05
237,Mbandaka,CD,2021-10-18 15:04:36,0.0487,18.2603,83.23,67,99,4.18
238,Islamkot,PK,2021-10-18 15:04:37,24.6997,70.177,85.39,34,0,13.87
239,Okhotsk,RU,2021-10-18 14:58:59,59.3833,143.3,12.4,70,1,16.31
240,Peniche,PT,2021-10-18 15:00:53,39.3558,-9.3811,83.62,83,100,6.26
