City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Beira,MZ,-19.8436,34.8389,73.56,83,100,19.06,moderate rain
201,Hobyo,SO,5.3505,48.5268,77.83,86,4,13.91,clear sky
202,Sisimiut,GL,66.9395,-53.6735,27.75,46,1,16.13,clear sky
203,Nabire,ID,-3.3667,135.4833,86.05,66,85,3.13,overcast clouds
204,Batagay-Alyta,RU,67.8006,130.4114,6.48,73,100,2.44,overcast clouds
205,Esmeraldas,BR,-19.7625,-44.3139,69.04,91,100,2.62,overcast clouds
206,Ponta Do Sol,PT,32.6667,-17.1,77.72,32,94,0.65,overcast clouds
207,Ritchie,ZA,-29.038,24.6028,42.01,18,0,9.13,clear sky
208,Kruisfontein,ZA,-34.0033,24.7314,48.43,74,0,4.52,clear sky
209,Egvekinot,RU,66.3167,-179.1667,17.76,93,100,18.37,snow
210,Nouadhibou,MR,20.931,-17.0347,71.58,83,5,8.05,clear sky
211,Sorland,NO,67.667,12.6934,39.34,55,100,11.01,overcast clouds
212,Baykit,RU,61.67,96.37,34.66,92,100,3.22,overcast clouds
213,Manuk Mangkaw,PH,4.8,119.85,83.32,75,77,4.7,broken clouds
214,Yuzhno-Kurilsk,RU,44.0306,145.8556,52.9,59,25,14.92,scattered clouds
215,Tome,CL,-36.6167,-72.95,57.81,71,0,3.53,clear sky
216,Guaira,BR,-20.3183,-48.3106,71.24,90,100,3.71,overcast clouds
217,Feijo,BR,-8.1642,-70.3536,73.11,95,77,1.43,broken clouds
218,Tilichiki,RU,60.4667,166.1,19.63,78,65,12.33,broken clouds
219,Yeppoon,AU,-23.1333,150.7333,80.38,66,23,7.58,few clouds
220,Weligama,LK,5.9667,80.4167,78.57,86,88,9.69,overcast clouds
221,Flinders,AU,-34.5833,150.8552,69.21,77,74,14.43,light rain
222,Tasiilaq,GL,65.6145,-37.6368,33.96,49,17,3.56,few clouds
223,Taltal,CL,-25.4,-70.4833,59.99,72,22,4.74,few clouds
224,Kuvshinovo,RU,57.0295,34.1725,34.5,93,81,8.03,light rain
225,Deputatskiy,RU,69.3,139.9,-9.27,96,37,3.56,scattered clouds
226,Ouesso,CG,1.6136,16.0517,70.7,99,100,2.1,moderate rain
227,Malakal,SS,9.5334,31.6605,74.89,71,4,2.26,clear sky
228,Ilhabela,BR,-23.7781,-45.3581,66.6,92,100,7.43,overcast clouds
229,Clyde River,CA,70.4692,-68.5914,31.23,76,100,10.98,overcast clouds
230,Sanming,CN,26.2486,117.6186,69.04,71,14,2.95,few clouds
231,Portland,US,45.5234,-122.6762,59.11,68,75,1.01,broken clouds
232,Nehe,CN,48.4833,124.8333,34.57,47,13,5.91,few clouds
233,Carnarvon,AU,-24.8667,113.6333,64.47,94,90,27.63,light rain
234,Oleksandrivka,UA,48.9634,32.2349,44.15,79,96,11.39,overcast clouds
235,Kulhudhuffushi,MV,6.6221,73.07,82.06,74,75,13.49,broken clouds
236,Upernavik,GL,72.7868,-56.1549,29.19,45,100,3.44,overcast clouds
237,Toora-Khem,RU,52.4675,96.11,24.53,82,20,2.08,few clouds
238,Tarut,SA,26.5733,50.0369,85.98,53,0,16.24,clear sky
239,Narsaq,GL,60.9167,-46.05,34.02,43,30,6.29,light rain
240,Kalmunai,LK,7.4167,81.8167,79.81,79,98,2.39,overcast clouds
241,Mikkeli,FI,61.6886,27.2723,33.91,80,75,5.75,broken clouds
242,Ukiah,US,39.1502,-123.2078,62.49,45,1,3.44,clear sky
243,Khandyga,RU,62.6667,135.6,6.17,74,66,3.02,broken clouds
244,Pinsk,BY,52.1229,26.0951,35.53,87,17,6.87,few clouds
245,Torbay,CA,47.6666,-52.7314,46.27,95,90,18.41,overcast clouds
246,Wuning,CN,29.2589,120.2311,60.62,75,96,2.86,overcast clouds
247,Jadu,LY,31.953,12.0261,60.22,71,73,7.38,broken clouds
248,Cabo San Lucas,MX,22.8909,-109.9124,84.61,68,40,3.0,scattered clouds
249,Merauke,ID,-8.4667,140.3333,87.17,65,100,5.64,overcast clouds
250,Bathsheba,BB,13.2167,-59.5167,79.41,89,20,8.05,few clouds
251,Faya,SA,18.3851,42.4509,59.11,27,13,6.46,few clouds
252,Binika,IN,21.0333,83.8,75.61,92,86,4.5,overcast clouds
253,Saint George,US,37.1041,-113.5841,55.26,50,90,4.0,overcast clouds
254,Plouzane,FR,48.3833,-4.6167,62.92,100,90,20.71,mist
255,Hami,CN,42.8,93.45,52.59,27,75,3.11,broken clouds
256,Tacuarembo,UY,-31.7333,-55.9833,54.57,75,0,3.27,clear sky
257,Richards Bay,ZA,-28.783,32.0377,56.75,75,4,3.15,clear sky
258,Cihuatlan,MX,19.2366,-104.5651,79.56,90,66,4.88,broken clouds
259,Tuatapere,NZ,-46.1333,167.6833,51.15,48,99,15.93,overcast clouds
260,Maragogi,BR,-9.0122,-35.2225,76.55,85,62,8.05,broken clouds
261,Bulgan,MN,48.8125,103.5347,33.49,43,4,2.21,clear sky
262,Shelopugino,RU,51.6514,117.5599,29.73,64,7,4.52,clear sky
263,Micheweni,TZ,-4.9667,39.8333,76.6,85,72,8.52,light rain
264,Guangyuan,CN,32.442,105.823,57.04,88,100,1.21,overcast clouds
265,Isiro,CD,2.7739,27.616,65.34,97,100,2.33,overcast clouds
266,Salta,AR,-24.7859,-65.4117,59.29,82,90,1.99,overcast clouds
